index,EquipmentId,OrganizationId,ClassificationID,EquipmentName,VIN,LicensePlate,AgencyId,DOTId,FundedByDOT,FundingProgramId,GrantIdPrimary,OtherGrantPrimary,GrantIdSecondary,OtherGrantSecondary,DOTContractId,OtherDOTContract,UPIN,Quantity,AverageCostPerUnit,TotalCost,FederalShare,FederalSharePercent,StateShare,StateSharePercent,LocalShare,LocalSharePercent,TDCShare,TDCSharePercent,DOTCapitalResponsibility,OrganizationCapitalResponsibility,OtherCapitalResponsibility,OtherCapitalResponsibilityOrg,EquipmentClassID,EquipmentTypeID,EquipmentTypeOther,Manufacturer,Model,EquipmentYear,SerialNumber,EquipmentStatusId,ImprovementTypeId,CurrentCondition,CurrentConditionDate,ConditionRatingId,CurrentMileage,CurrentMileageDate,YearOfRenewal,RenewalTypeId,PurchaseOrderNumber,PurchaseOrderDate,Vendor,ReceivedDate,LastInspectionDate,NextInspectionDate,VehicleLocationStreet,VehicleLocationCity,VehicleLocationState,InServiceDate,AverageEstimatedServiceYearsWhenNew,UsefulLifeYearsRemaining,OutOfServiceDate,IsDOTLienHolder,IsTitleOnFileWithDOT,TitleNumber,RegistrationNumber,Comments,DispositionDate,sys_ModifiedUserId
44,50,3713,1,Focus,1FADP3E23HL333690,,1720,1675,True,27,,,,,,,,,,17698.00,,,,,,,,,,,,,1,1,,Ford,,2017,,1,,,,,292,12/5/2017 12:00:00 AM,,,,9/19/2017 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
45,51,3713,1,Focus,1FADP3E25HL333691,,1721,1675,True,27,,,,,,,,,,17698.00,,,,,,,,,,,,,1,1,,Ford,,2017,,1,,,,,578,12/5/2017 12:00:00 AM,,,,10/3/2017 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
46,52,3713,1,Focus,1FADP3E27HL333692,,1722,1675,True,27,,,,,,,,,,17698.00,,,,,,,,,,,,,1,1,,Ford,,2017,,1,,,,,289,12/5/2017 12:00:00 AM,,,,9/19/2017 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
47,53,3713,1,Focus,1FADP3E29HL333693,,1723,1675,True,27,,,,,,,,,,17698.00,,,,,,,,,,,,,1,1,,Ford,,2017,,1,,,,,242,12/5/2017 12:00:00 AM,,,,9/19/2017 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
48,54,3713,1,F250,1FDBF2A6XHEE34250,,1724,1675,True,27,,,,,,,,,,34980.00,,,,,,,,,,,,,1,2,,Ford,,2017,,1,,,,,867,12/5/2017 12:00:00 AM,,,,9/28/2017 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
49,55,3713,1,Transporter,1FTSS34L66DA91642,E-1258197,2604,1675,True,27,,,,,,,,,,55255.00,,,,,,,,,,,,,1,2,,Ford/Braun,,2006,,1,,,,5,120520,12/5/2017 12:00:00 AM,,,,1/1/2008 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
50,56,3713,1,Transporter,1FTSS34L67DB28979,E-1258201,2701,1675,True,27,,,,,,,,,,53573.00,,,,,,,,,,,,,1,2,,Ford/Braun,,2007,,1,,,,5,140679,12/5/2017 12:00:00 AM,,,,1/1/2008 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
51,57,3713,1,S1900 Service Truck,1HTLDMJL6GHA15346,E-484756,8026,1675,False,27,,,,,,,,,,51679.00,,,,,,,,,,,,,1,2,,International ,,1985,,1,,,,,101652,12/5/2017 12:00:00 AM,,,,9/20/1985 12:00:00 AM,,,,,,,,,14,34,,False,False,,,,,2951
52,58,3713,1,E250 Cargo Van,1FTNS24Z7XHB94218,E-1032382,9951,1675,True,27,,,,,,,,,,22090.00,,,,,,,,,,,,,1,2,,Ford,,1999,,1,,,,,162788,12/5/2017 12:00:00 AM,,,,9/7/1999 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
53,59,3713,1,Focus Sedan,1FAHP34N17W183475,E-1263659,705,1675,True,27,,,,,,,,,,14015.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,137120,12/5/2017 12:00:00 AM,,,,10/1/2006 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
54,60,3713,1,Focus Sedan,1FAHP34N57W312544,E-1263688,709,1675,True,27,,,,,,,,,,14210.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,150529,12/5/2017 12:00:00 AM,,,,6/1/2007 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
55,61,3713,1,Focus Sedan,1FAHP34N77W312545,E-1263687,710,1675,True,27,,,,,,,,,,14210.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,139867,12/5/2017 12:00:00 AM,,,,6/1/2007 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
56,62,3713,1,Focus Sedan,1FAHP34N97W312546,E-1263686,711,1675,True,27,,,,,,,,,,14210.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,165138,12/5/2017 12:00:00 AM,,,,6/1/2007 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
57,63,3713,1,Focus Sedan,1FAHP34N07W312547,E-1263685,712,1675,True,27,,,,,,,,,,14210.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,160524,12/5/2017 12:00:00 AM,,,,6/1/2007 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
58,64,3713,1,Focus Sedan,1FAHP34N07W312550,E-1263682,715,1675,True,27,,,,,,,,,,14210.00,,,,,,,,,,,,,1,1,,Ford,,2007,,1,,,,,175680,12/5/2017 12:00:00 AM,,,,6/1/2007 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
59,67,3679,1,Gold Country Stage Staff Vehicle,1FMCU92Z58KD40838,,26760,,False,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Ford,Escape,2008,,1,,3.0,12/14/2017 12:00:00 AM,3,43736,10/2/2017 12:00:00 AM,,,,,,,,,,,,9/1/2007 12:00:00 AM,8,,,False,,,,,,2701
60,68,3679,1,Gold Country Stage Staff Vehicle,1FMCU9D72CKB79157,,26983,,False,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Ford,Escape,2012,,1,,3.7,12/14/2017 12:00:00 AM,3,16293,10/2/2017 12:00:00 AM,,,,,,,,,,,,8/1/2011 12:00:00 AM,8,,,False,,,,,,2701
61,69,3663,1,800,9105989,1007613,HTA,,False,,,,,,,,,1,25000.00,,,,,,,,,,,,,,1,1,,Chevy,Implala,2000,9105989,1,,0.5,12/15/2017 12:00:00 AM,5,150000,12/15/2017 12:00:00 AM,,,,,,,,,,,,1/3/2000 12:00:00 AM,8,,,False,True,,,,,1700
62,70,3663,1,801,W322523,1321241,HTA,,False,,,,,,,,,1,25000.00,,,,,,,,,,,,,,1,1,,Ford,Focus,2007,W322523,1,,1.5,12/15/2017 12:00:00 AM,3,60000,12/15/2017 12:00:00 AM,,,,,,,,,,,,7/28/2009 12:00:00 AM,8,,,False,True,,,,,1700
63,71,3663,1,802,PA55702,1321242,HTA,,False,,,,,,,,,1,35000.00,,,,,,,,,,,,,,1,2,,Ford,Ranger,2006,PA55702,1,,4.0,12/15/2017 12:00:00 AM,2,50000,12/15/2017 12:00:00 AM,,,,,,,,,,,,7/28/2009 12:00:00 AM,14,14,,False,,,,,,1700
64,72,3679,1,Gold Country Stage Service Unit,1FT7W2B66CEB84586,,26999,,False,,,,,,,,,,,,,,,,,,,,,,,,1,2,,Ford,F250,2012,,1,,3.8,12/15/2017 12:00:00 AM,2,18731,10/2/2017 12:00:00 AM,,,,,,,,,,,,11/1/2011 12:00:00 AM,14,,,False,,,,,,2701
65,73,3663,1,803,A014912,1188042,HTA,,False,,,,,,,,,1,25000.00,,,,,,,,,,,,,,1,1,,Honda,Accord,2006,A014912,1,,3.5,,2,20000,,,,,,,,,,,,,12/9/2005 12:00:00 AM,8,,,False,,,,,,1700
66,74,3663,1,809,6955838,1415905,HTA,,False,,,,,,,,,1,25000.00,,,,,,,,,,,,,,1,1,,Kia,,2011,6955838,1,,3.5,12/15/2017 12:00:00 AM,3,48000,,,,,,,,,,,,,2/21/2013 12:00:00 AM,8,,,False,,,,,,1700
